Library_ID	GM12878_rDD_v-snoRNA1_rep3_BR
Reference_genome	hg38B.fa.size
Total_read_pairs	14,096,056
Read_pairs_with_linker	11,655,019
Fraction_read_pairs_with_linker	0.83
One_tag	5,035,442
PET	6,379,723
Uniquely_mapped_PET	4,976,501
Non-redundant_PET	2,135,758
Redundancy	0.57
Non-redundant_tag	9772813
Peak	50,413
Self-ligation_PET	502,461
Inter-ligation_PET	1,633,297
Intra-chr_PET	516,168
Inter-chr_PET	1,117,129
ratio_of_intra/inter_PET	0.46
Singleton	1,524,230
Intra-chr_singleton	462,324
Inter-chr_singleton	1,061,906
PET_cluster	48,302
ratio_of_intra/inter_cluster	0.89
Intra-chr_PET_cluster	22,808
pets_number_2	18,976
pets_number_3	2,508
pets_number_4	750
pets_number_5	321
pets_number_6	130
pets_number_7	63
pets_number_8	29
pets_number_9	14
pets_number_10	7
pets_number>10	10
Inter-chr_PET_cluster	25,494
pets_number_2	22,655
pets_number_3	2,017
pets_number_4	507
pets_number_5	173
pets_number_6	75
pets_number_7	42
pets_number_8	11
pets_number_9	7
pets_number_10	4
pets_number>10	3
Host-Host_Loops	47,957
EBV-EBV_Loops	212
Host-EBV_Loops	133
